ID,Título do caso de teste,Etapas do teste,Dados do teste (corpo da solicitação),Resultado esperado,Resultado real,Status,Link para o relatório de bug
,Requisito 1: /register,,,,,,
GCU1,É possível adicionar usuário com dados válidos.,1. Envie uma solicitação POST para /register com um dados válidos no corpo da solicitação.,"{
    ""name"": ""Green Cycle da Silva"",
    ""email"": ""greencycle@gmail.com"",
    ""password"": ""Green-cycl3"",
    ""confirmPassword"": ""Green-cycl3"",
    ""cpf"": 12345678909,

    ""telefone"": 21978654321
  }",200 OK ,200 OK ,APROVADO,
GCU2,Não é possível adicionar um usuário com nome inválido.,1. Envie uma solicitação POST para /register com um nome inválido no corpo da solicitação.,"{
    ""name"": ""Green Cycle da Silv@"",
    ""email"": ""greencycle@gmail.com"",
    ""password"": ""Green-cycl3"",
    ""confirmPassword"": ""Green-cycl3"",
    ""cpf"": 12345678909,

    ""telefone"": 21978654321
  }",400 Bad Request,400 Bad Request,APROVADO,
GCU3,Não é possível adicionar um usuário com CPF inválido.,1. Envie uma solicitação POST para /register com um CPF inválido no corpo da solicitação.,"{
    ""name"": ""Green Cycle da Silva"",
    ""email"": ""greencycle@gmail.com"",
    ""password"": ""Green-cycl3"",
    ""confirmPassword"": ""Green-cycl3"",
    ""cpf"": ""12345678@"",

    ""telefone"": 21978654321
  }",400 Bad Request,400 Bad Request,APROVADO,
GCU4,Não é possível adicionar um usuário com e-mail inválido.,1. Envie uma solicitação POST para /register com um e-mail inválido no corpo da solicitação.,"{
    ""name"": ""Green Cycle da Silva"",
    ""email"": ""silvaesilvagmail.com"",
    ""password"": ""Green-cycl3"",
    ""confirmPassword"": ""Green-cycl3"",
    ""cpf"": 97865421300,

    ""telefone"": 21978654321
  }",400 Bad Request,200 OK,REPROVADO,https://lunamarinab.atlassian.net/browse/RDBGC-1
GCU5,Não é possível adicionar um usuário com telefone inválido.,1. Envie uma solicitação POST para /register com um telefone inválido no corpo da solicitação.,"{
    ""name"": ""Green Cycle da Silva"",
    ""email"": ""greensilva@gmail.com"",
    ""password"": ""Green-cycl3"",
    ""confirmPassword"": ""Green-cycl3"",
    ""cpf"": 97865421301,

    ""telefone"": 21978
  }",400 Bad Request,200 OK,REPROVADO,https://lunamarinab.atlassian.net/browse/RDBGC-2
GCU6,Não é possível adicionar um usuário com senha inválida.,1. Envie uma solicitação POST para /register com um senha inválida no corpo da solicitação.,"{
    ""name"": ""Green Cycle da Silva"",
    ""email"": ""greensilve@gmail.com"",
    ""password"": ""gc"",
    ""confirmPassword"": ""Green-cycl3"",
    ""cpf"": 97865421301,

    ""telefone"": 21978654321
  }",400 Bad Request,400 Bad Request,APROVADO,
GCU7,Não é possível adicionar um usuário com a confirmação de senha inválida.,1. Envie uma solicitação POST para /register com um confirmação de senha inválida no corpo da solicitação.,"{
    ""name"": ""Green Cycle da Silva"",
    ""email"": ""greensilve@gmail.com"",
    ""password"": ""Green-cycl3"",
    ""confirmPassword"": ""gc"",
    ""cpf"": 97865421301,

    ""telefone"": 21978654321
  }",400 Bad Request,400 Bad Request,APROVADO,
GCU8,Não é possível adicionar um usuário existente.,1. Envie uma solicitação POST para /register com dados de um usuário existente no corpo da solicitação.,"{
    ""name"": ""Green Cycle da Silva"",
    ""email"": ""greencycle@gmail.com"",
    ""password"": ""Green-cycl3"",
    ""confirmPassword"": ""Green-cycl3"",
    ""cpf"": 12345678909,

    ""telefone"": 21978654321
  }",400 Bad Request,400 Bad Request,APROVADO,
GCU9,Não é possível validar a solicitação com o parâmetro confirmPassword diferente do parâmetro password.,1. Envie uma solicitação POST para /register com os parâmetros password e confirmPassword diferentes.,"{
    ""name"": ""Green Cycle Vieira Sors"",
    ""email"": ""greencyclev9@gmail.com"",
    ""password"": ""Green-cycl3"",
    ""confirmPassword"": ""Green-cycl2"",
    ""cpf"": 96300258741,

    ""telefone"": 22998517641
}",400 Bad Request,400 Bad Request,APROVADO,
